QSPY 6.9.2 Copyright (c) 2005-2020 Quantum Leaps
Documentation: https://www.state-machine.com/qtools/qspy.html
3390564442 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3390564462 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3390564810 PHILO_STAT 0 thinking
3390564834 MP-Get   Obj=EvtPool1,Free=8,Min=7
3390564848 QF-New   Sig=EAT_SIG,Size=6
3390564867 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3390564887 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3390564906 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3390564926 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3390564945 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3390564963 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3390564982 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3390565053 PHILO_STAT 1 eating  
3390565072 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3390565096 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3390565110 MP-Put   Obj=EvtPool1,Free=9
3390565124 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3390565149 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry
3390565182 =>Ignore Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry
3390565192 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3390565211 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3390565235 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::eating
3390565255 =>Intern Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::eating
3390565274 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3390565292 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3390565311 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::thinking
3390565330 =>Intern Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::thinking
3390565344 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3390565363 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3390565377 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::hungry
3390565396 TE0-Arm  Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1],Tim=185,Int=0
===RTC===> St-Entry Obj=Philo::inst[1],State=Philo::eating
3390565420 ===>Tran Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3390565439 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3390565454 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3390565468 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::thinking
3390565492 =>Intern Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::thinking
3390565511 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3390565526 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0]
3397146782 TE0-Post Obj=Philo::inst[0].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[0]
3397146810 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[0],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3397147572 AO-GetL  Obj=Philo::inst[0],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3397147606 Disp===> Obj=Philo::inst[0],Sig=TIMEOUT_SIG,State=Philo::thinking
3397147639 TE0-DisA Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0]
===RTC===> St-Exit  Obj=Philo::inst[0],State=Philo::thinking
3397147658 MP-Get   Obj=EvtPool1,Free=9,Min=7
3397147677 QF-New   Sig=HUNGRY_SIG,Size=6
3397147697 AO-Post  Sdr=Philo::inst[0],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[0],State=Philo::hungry
3397147721 ===>Tran Obj=Philo::inst[0],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3397147740 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3397147755 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3397148163 PHILO_STAT 0 hungry  
3397148177 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3397148197 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3397148211 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2]
3397653681 TE0-Post Obj=Philo::inst[2].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[2]
3397653705 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[2],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3397654269 AO-GetL  Obj=Philo::inst[2],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3397654297 Disp===> Obj=Philo::inst[2],Sig=TIMEOUT_SIG,State=Philo::thinking
3397654329 TE0-DisA Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2]
===RTC===> St-Exit  Obj=Philo::inst[2],State=Philo::thinking
3397654353 MP-Get   Obj=EvtPool1,Free=9,Min=7
3397654367 QF-New   Sig=HUNGRY_SIG,Size=6
3397654385 AO-Post  Sdr=Philo::inst[2],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[2],State=Philo::hungry
3397654409 ===>Tran Obj=Philo::inst[2],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3397654429 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3397654443 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3397654757 PHILO_STAT 2 hungry  
3397654781 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3397654795 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3397654815 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
3406551975 TE0-Post Obj=Philo::inst[3].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[3]
3406552013 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3406552595 AO-GetL  Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3406552623 Disp===> Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::eating
3406552657 MP-Get   Obj=EvtPool1,Free=9,Min=7
3406552676 QF-New   Sig=DONE_SIG,Size=6
3406552694 QF-Pub   Sdr=Philo::inst[3],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3406552709 AO-Post  Sdr=Philo::inst[3],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3406552734 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3406552748 TE0-DisA Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
===RTC===> St-Exit  Obj=Philo::inst[3],State=Philo::eating
3406552772 TE0-Arm  Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3],Tim=69,Int=0
===RTC===> St-Entry Obj=Philo::inst[3],State=Philo::thinking
3406552792 ===>Tran Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3406552810 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3406552829 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3406553200 PHILO_STAT 3 thinking
3406553219 MP-Get   Obj=EvtPool1,Free=8,Min=7
3406553233 QF-New   Sig=EAT_SIG,Size=6
3406553248 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3406553262 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3406553281 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3406553301 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3406553315 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3406553334 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3406553358 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3406553402 PHILO_STAT 4 eating  
3406553426 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3406553440 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3406553459 MP-Put   Obj=EvtPool1,Free=9
3406553477 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3406553491 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry
3406553515 TE0-Arm  Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4],Tim=150,Int=0
===RTC===> St-Entry Obj=Philo::inst[4],State=Philo::eating
3406553533 ===>Tran Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3406553548 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3406553567 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3406553581 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3406553600 =>Intern Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3406553614 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3406553628 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3406553647 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3406553666 =>Ignore Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3406553681 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3406553699 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3406553709 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::eating
3406553724 =>Intern Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::eating
3406553743 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3406553762 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3406553781 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3406553790 =>Ignore Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3406553809 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3406553823 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
3409282722 TE0-Post Obj=Philo::inst[1].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[1]
3409282750 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3409282984 AO-GetL  Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3409283014 Disp===> Obj=Philo::inst[1],Sig=TIMEOUT_SIG,State=Philo::eating
3409283046 MP-Get   Obj=EvtPool1,Free=9,Min=7
3409283065 QF-New   Sig=DONE_SIG,Size=6
3409283084 QF-Pub   Sdr=Philo::inst[1],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3409283103 AO-Post  Sdr=Philo::inst[1],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3409283121 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3409283140 TE0-DisA Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
===RTC===> St-Exit  Obj=Philo::inst[1],State=Philo::eating
3409283159 TE0-Arm  Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1],Tim=149,Int=0
===RTC===> St-Entry Obj=Philo::inst[1],State=Philo::thinking
3409283178 ===>Tran Obj=Philo::inst[1],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3409283198 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3409283212 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3409283521 PHILO_STAT 1 thinking
3409283535 MP-Get   Obj=EvtPool1,Free=8,Min=7
3409283549 QF-New   Sig=EAT_SIG,Size=6
3409283563 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3409283583 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3409283602 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3409283616 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3409283636 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3409283646 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3409283664 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3409283702 PHILO_STAT 2 eating  
3409283721 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3409283730 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3409283749 MP-Put   Obj=EvtPool1,Free=9
3409283767 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3409283781 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::eating
3409283800 =>Intern Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::eating
3409283815 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3409283833 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3409283847 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3409283866 =>Intern Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3409283880 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3409283895 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3409283910 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3409283928 TE0-Arm  Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2],Tim=106,Int=0
===RTC===> St-Entry Obj=Philo::inst[2],State=Philo::eating
3409283948 ===>Tran Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3409283967 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3409283982 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3409283996 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3409284011 =>Intern Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3409284030 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3409284049 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3409284063 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3409284078 =>Ignore Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3409284096 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3409284110 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
3413528907 TE0-Post Obj=Philo::inst[3].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[3]
3413528944 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3413529364 AO-GetL  Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3413529393 Disp===> Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::thinking
3413529422 TE0-DisA Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
===RTC===> St-Exit  Obj=Philo::inst[3],State=Philo::thinking
3413529455 MP-Get   Obj=EvtPool1,Free=9,Min=7
3413529474 QF-New   Sig=HUNGRY_SIG,Size=6
3413529493 AO-Post  Sdr=Philo::inst[3],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[3],State=Philo::hungry
3413529517 ===>Tran Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3413529536 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3413529550 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3413529822 PHILO_STAT 3 hungry  
3413529841 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3413529861 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3413529884 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2]
3419990100 TE0-Post Obj=Philo::inst[2].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[2]
3419990119 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[2],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3419990739 AO-GetL  Obj=Philo::inst[2],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3419990763 Disp===> Obj=Philo::inst[2],Sig=TIMEOUT_SIG,State=Philo::eating
3419990796 MP-Get   Obj=EvtPool1,Free=9,Min=7
3419990821 QF-New   Sig=DONE_SIG,Size=6
3419990840 QF-Pub   Sdr=Philo::inst[2],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3419990864 AO-Post  Sdr=Philo::inst[2],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3419990883 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3419990902 TE0-DisA Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2]
===RTC===> St-Exit  Obj=Philo::inst[2],State=Philo::eating
3419990925 TE0-Arm  Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2],Tim=90,Int=0
===RTC===> St-Entry Obj=Philo::inst[2],State=Philo::thinking
3419990944 ===>Tran Obj=Philo::inst[2],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3419990962 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3419990981 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3419991391 PHILO_STAT 2 thinking
3419991414 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3419991433 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3419991453 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
3421710445 TE0-Post Obj=Philo::inst[4].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[4]
3421710478 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3421711084 AO-GetL  Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3421711113 Disp===> Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::eating
3421711152 MP-Get   Obj=EvtPool1,Free=9,Min=7
3421711171 QF-New   Sig=DONE_SIG,Size=6
3421711185 QF-Pub   Sdr=Philo::inst[4],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3421711204 AO-Post  Sdr=Philo::inst[4],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3421711228 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3421711242 TE0-DisA Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
===RTC===> St-Exit  Obj=Philo::inst[4],State=Philo::eating
3421711266 TE0-Arm  Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4],Tim=51,Int=0
===RTC===> St-Entry Obj=Philo::inst[4],State=Philo::thinking
3421711285 ===>Tran Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3421711305 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3421711323 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3421711690 PHILO_STAT 4 thinking
3421711713 MP-Get   Obj=EvtPool1,Free=8,Min=7
3421711723 QF-New   Sig=EAT_SIG,Size=6
3421711738 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3421711757 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3421711777 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3421711796 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3421711810 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3421711829 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3421711848 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3421711951 PHILO_STAT 3 eating  
3421711971 MP-Get   Obj=EvtPool1,Free=7,Min=7
3421711986 QF-New   Sig=EAT_SIG,Size=6
3421712000 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3421712014 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=4,Min=4>
3421712033 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=4,Min=4>
3421712053 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=4,Min=4>
3421712072 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=4,Min=4>
3421712081 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=4,Min=4>
3421712101 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3421712168 PHILO_STAT 0 eating  
3421712183 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3421712206 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3421712225 MP-Put   Obj=EvtPool1,Free=8
3421712243 AO-Get   Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5>
3421712262 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3421712285 =>Intern Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3421712300 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3421712320 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3421712667 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3421712685 =>Intern Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3421712704 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3421712723 AO-Get   Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5>
3421712757 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::hungry
3421712786 TE0-Arm  Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3],Tim=153,Int=0
===RTC===> St-Entry Obj=Philo::inst[3],State=Philo::eating
3421712800 ===>Tran Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3421712819 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3421712833 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3421712852 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::eating
3421712871 =>Intern Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::eating
3421712889 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3421712903 AO-Get   Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5>
3421712912 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::thinking
3421712926 =>Intern Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::thinking
3421712940 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3421712960 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3421712978 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::thinking
